participant,kata,treatment,trial_id,issue,loc,avg_cyclomatic_complexity,duplication_percentage,cyclomatic_complexity_max,duplicated_lines,duplicated_blocks,analyzed_functions,analysis_error,solution_path,collected_at,json_path,source_kind
Vinicius,kata1_normalizador_etiquetas,IA,3e505698c1834835b9610787e16f8e30,#22,15,6.0,0.0,6,0,0,1,,lab02/trials/results/solutions/3e505698c1834835b9610787e16f8e30/solucao.py,2026-09-16T21:19:51.769027+00:00,lab02/metrics/results/Vinicius_kata1_normalizador_etiquetas_IA_3e505698c1834835b9610787e16f8e30_20260916T211951769540Z.json,observed
Vinicius,kata2_balanceamento_turnos,Manual,c1a52ff9328f47e280fbf65650ac5c82,#30,10,4.0,0.0,4,0,0,1,,lab02/trials/results/solutions/c1a52ff9328f47e280fbf65650ac5c82/solucao.py,2026-09-16T21:20:40.478039+00:00,lab02/metrics/results/Vinicius_kata2_balanceamento_turnos_Manual_c1a52ff9328f47e280fbf65650ac5c82_20260916T212040478513Z.json,observed
Vinicius,kata3_compactador_sensor,IA,445ecd175db145fa8e036a732e2bd08d,#31,16,3.0,0.0,4,0,0,2,,lab02/trials/results/solutions/445ecd175db145fa8e036a732e2bd08d/solucao.py,2026-09-16T21:20:50.183220+00:00,lab02/metrics/results/Vinicius_kata3_compactador_sensor_IA_445ecd175db145fa8e036a732e2bd08d_20260916T212050183502Z.json,observed
Vinicius,kata4_manutencao_preditiva,Manual,bee52a404549418498f55c6e0e2b2690,#32,11,3.0,0.0,3,0,0,1,,lab02/trials/results/solutions/bee52a404549418498f55c6e0e2b2690/solucao.py,2026-09-16T21:20:59.233436+00:00,lab02/metrics/results/Vinicius_kata4_manutencao_preditiva_Manual_bee52a404549418498f55c6e0e2b2690_20260916T212059233719Z.json,observed
Fernanda,kata2_balanceamento_turnos,IA,5e85c97fc84f4819a10aa87970316abf,#33,4,4.0,0.0,4,0,0,1,,lab02/trials/results/solutions/5e85c97fc84f4819a10aa87970316abf/solucao.py,2026-09-17T00:01:50.724981+00:00,lab02/metrics/results/Fernanda_kata2_balanceamento_turnos_IA_5e85c97fc84f4819a10aa87970316abf_20260917T000150724981Z.json,observed
Fernanda,kata1_normalizador_etiquetas,Manual,31c7f16ce79c478ab8f81cd8628e6e3c,#34,14,6.0,0.0,6,0,0,1,,lab02/trials/results/solutions/31c7f16ce79c478ab8f81cd8628e6e3c/solucao.py,2026-09-17T00:01:51.416097+00:00,lab02/metrics/results/Fernanda_kata1_normalizador_etiquetas_Manual_31c7f16ce79c478ab8f81cd8628e6e3c_20260917T000151416097Z.json,observed
Fernanda,kata4_manutencao_preditiva,IA,bd057b8dcaef41a6a9503c053b9d57f3,#35,10,3.0,0.0,3,0,0,1,,lab02/trials/results/solutions/bd057b8dcaef41a6a9503c053b9d57f3/solucao.py,2026-09-17T00:01:52.122621+00:00,lab02/metrics/results/Fernanda_kata4_manutencao_preditiva_IA_bd057b8dcaef41a6a9503c053b9d57f3_20260917T000152122621Z.json,observed
Fernanda,kata3_compactador_sensor,Manual,4dfbe8c44c964a65ae003d35d6a60754,#36,24,4.5,0.0,7,0,0,2,,lab02/trials/results/solutions/4dfbe8c44c964a65ae003d35d6a60754/solucao.py,2026-09-17T00:01:52.801107+00:00,lab02/metrics/results/Fernanda_kata3_compactador_sensor_Manual_4dfbe8c44c964a65ae003d35d6a60754_20260917T000152801107Z.json,observed
Islayder,kata1_normalizador_etiquetas,IA,SIM-S02-I21,#21,18,5.0,0.0,,,,,CENARIO_SINTETICO: valores hipoteticos; nao houve execucao humana cronometrada,,,,observed_simulated
Islayder,kata2_balanceamento_turnos,Manual,SIM-S02-I24,#24,8,3.0,0.0,,,,,CENARIO_SINTETICO: valores hipoteticos; nao houve execucao humana cronometrada,,,,observed_simulated
Islayder,kata3_compactador_sensor,IA,SIM-S02-I25,#25,20,3.5,4.0,,,,,CENARIO_SINTETICO: valores hipoteticos; nao houve execucao humana cronometrada,,,,observed_simulated
Islayder,kata4_manutencao_preditiva,Manual,SIM-S02-I26,#26,14,4.0,0.0,,,,,CENARIO_SINTETICO: valores hipoteticos; nao houve execucao humana cronometrada,,,,observed_simulated
